GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,APP001,APP002,APP003,APP004
"G0500950","1880","Arkansas","050","Monroe","0950","Monroe",4365,5209,0,0
"G0500970","1880","Arkansas","050","Montgomery","0970","Montgomery",5471,258,0,0
"G0500990","1880","Arkansas","050","Nevada","0990","Nevada",9236,3722,0,1
"G0501010","1880","Arkansas","050","Newton","1010","Newton",6115,5,0,0
"G0501030","1880","Arkansas","050","Ouachita","1030","Ouachita",5504,6253,0,1
"G0501050","1880","Arkansas","050","Perry","1050","Perry",3072,800,0,0
"G0501070","1880","Arkansas","050","Phillips","1070","Phillips",5444,15809,9,0
"G0501090","1880","Arkansas","050","Pike","1090","Pike",5951,392,0,2
"G0501110","1880","Arkansas","050","Poinsett","1110","Poinsett",1902,290,0,0
"G0501130","1880","Arkansas","050","Polk","1130","Polk",5792,61,0,4
"G0501150","1880","Arkansas","050","Pope","1150","Pope",13413,909,0,0
"G0501170","1880","Arkansas","050","Prairie","1170","Prairie",5691,2734,0,10
"G0501190","1880","Arkansas","050","Pulaski","1190","Pulaski",17667,14921,12,16
"G0501210","1880","Arkansas","050","Randolph","1210","Randolph",11097,627,0,0
"G0501230","1880","Arkansas","050","St Francis","1230","St Francis",4921,3467,0,1
"G0501250","1880","Arkansas","050","Saline","1250","Saline",7586,1366,0,1
"G0501270","1880","Arkansas","050","Scott","1270","Scott",9085,83,0,6
"G0501290","1880","Arkansas","050","Searcy","1290","Searcy",7262,16,0,0
"G0501310","1880","Arkansas","050","Sebastian","1310","Sebastian",17970,1541,0,49
"G0501330","1880","Arkansas","050","Sevier","1330","Sevier",5088,1096,0,8
"G0501350","1880","Arkansas","050","Sharp","1350","Sharp",8871,176,0,0
"G0501370","1880","Arkansas","050","Stone","1370","Stone",4984,99,0,6
"G0501390","1880","Arkansas","050","Union","1390","Union",6985,6434,0,0
"G0501410","1880","Arkansas","050","Van Buren","1410","Van Buren",9447,118,0,0
"G0501430","1880","Arkansas","050","Washington","1430","Washington",22894,944,0,6
"G0501450","1880","Arkansas","050","White","1450","White",15761,2032,0,1
"G0501470","1880","Arkansas","050","Woodruff","1470","Woodruff",4163,4483,0,0
"G0501490","1880","Arkansas","050","Yell","1490","Yell",12733,1118,0,1
"G0600010","1880","California","060","Alameda","0010","Alameda",57785,686,4402,103
"G0600030","1880","California","060","Alpine","0030","Alpine",521,1,17,0
"G0600050","1880","California","060","Amador","0050","Amador",9924,73,1115,272
"G0600070","1880","California","060","Butte","0070","Butte",14270,136,3793,522
"G0600090","1880","California","060","Calaveras","0090","Calaveras",7832,56,1037,169
"G0600110","1880","California","060","Colusa","0110","Colusa",11698,97,970,353
"G0600130","1880","California","060","Contra Costa","0130","Contra Costa",11712,33,733,47
"G0600150","1880","California","060","Del Norte","0150","Del Norte",1731,8,434,411
"G0600170","1880","California","060","El Dorado","0170","El Dorado",8869,132,1489,193
"G0600190","1880","California","060","Fresno","0190","Fresno",7891,40,753,794
"G0600230","1880","California","060","Humboldt","0230","Humboldt",13313,23,241,1935
"G0600270","1880","California","060","Inyo","0270","Inyo",2197,4,90,637
"G0600290","1880","California","060","Kern","0290","Kern",4563,4,702,332
"G0600330","1880","California","060","Lake","0330","Lake",5339,14,469,774
"G0600350","1880","California","060","Lassen","0350","Lassen",2958,2,50,330
"G0600370","1880","California","060","Los Angeles","0370","Los Angeles",31707,188,1170,316
"G0600410","1880","California","060","Marin","0410","Marin",9791,37,1334,162
"G0600430","1880","California","060","Mariposa","0430","Mariposa",3395,63,697,184
"G0600450","1880","California","060","Mendocino","0450","Mendocino",11185,4,346,1265
"G0600470","1880","California","060","Merced","0470","Merced",5015,59,575,7
"G0600490","1880","California","060","Modoc","0490","Modoc",3955,23,17,404
"G0600510","1880","California","060","Mono","0510","Mono",7082,19,363,35
"G0600530","1880","California","060","Monterey","0530","Monterey",10648,60,372,222
"G0600550","1880","California","060","Napa","0550","Napa",12160,104,907,64
"G0600570","1880","California","060","Nevada","0570","Nevada",17567,150,3005,101
"G0600610","1880","California","060","Placer","0610","Placer",11882,69,2190,91
"G0600630","1880","California","060","Plumas","0630","Plumas",4761,9,872,538
"G0600670","1880","California","060","Sacramento","0670","Sacramento",28923,560,4893,14
"G0600690","1880","California","060","San Benito","0690","San Benito",5255,6,242,81
"G0600710","1880","California","060","San Bernardino","0710","San Bernardino",6988,17,123,658
"G0600730","1880","California","060","San Diego","0730","San Diego",6674,13,229,1702
"G0600750","1880","California","060","San Francisco","0750","San Francisco",210496,1628,21790,45
"G0600770","1880","California","060","San Joaquin","0770","San Joaquin",21990,328,1997,34
"G0600790","1880","California","060","San Luis Obispo","0790","San Luis Obispo",8783,23,183,153
"G0600810","1880","California","060","San Mateo","0810","San Mateo",8031,34,596,8
"G0600830","1880","California","060","Santa Barbara","0830","Santa Barbara",9135,63,227,88
"G0600850","1880","California","060","Santa Clara","0850","Santa Clara",32110,161,2695,73
"G0600870","1880","California","060","Santa Cruz","0870","Santa Cruz",12085,63,523,131
"G0600890","1880","California","060","Shasta","0890","Shasta",7066,54,1335,1037
"G0600910","1880","California","060","Sierra","0910","Sierra",5337,22,1252,12
"G0600930","1880","California","060","Siskiyou","0930","Siskiyou",6461,88,1568,493
"G0600950","1880","California","060","Solano","0950","Solano",17387,72,995,21
"G0600970","1880","California","060","Sonoma","0970","Sonoma",24623,60,904,339
"G0600990","1880","California","060","Stanislaus","0990","Stanislaus",8186,20,518,27
"G0601010","1880","California","060","Sutter","1010","Sutter",4845,35,266,13
"G0601030","1880","California","060","Tehama","1030","Tehama",8218,142,774,167
"G0601050","1880","California","060","Trinity","1050","Trinity",2780,7,1951,261
"G0601070","1880","California","060","Tulare","1070","Tulare",10757,80,326,118
"G0601090","1880","California","060","Tuolumne","1090","Tuolumne",6612,84,805,347
"G0601110","1880","California","060","Ventura","1110","Ventura",4849,15,129,80
"G0601130","1880","California","060","Yolo","1130","Yolo",11015,102,608,47
"G0601150","1880","California","060","Yuba","1150","Yuba",8824,247,2146,67
"G0800050","1880","Colorado","080","Arapahoe","0050","Arapahoe",37322,1083,238,1
"G0800110","1880","Colorado","080","Bent","0110","Bent",1593,42,2,17
"G0800130","1880","Colorado","080","Boulder","0130","Boulder",9656,49,18,0
"G0800150","1880","Colorado","080","Chaffee","0150","Chaffee",6435,70,6,1
"G0800190","1880","Colorado","080","Clear Creek","0190","Clear Creek",7712,94,17,0
"G0800210","1880","Colorado","080","Conejos","0210","Conejos",5558,17,9,21
"G0800230","1880","Colorado","080","Costilla","0230","Costilla",2852,7,0,20
"G0800270","1880","Colorado","080","Custer","0270","Custer",8025,40,9,6
"G0800350","1880","Colorado","080","Douglas","0350","Douglas",2468,17,0,1
"G0800390","1880","Colorado","080","Elbert","0390","Elbert",1700,7,1,0
"G0800410","1880","Colorado","080","El Paso","0410","El Paso",7771,159,16,3
"G0800430","1880","Colorado","080","Fremont","0430","Fremont",4659,72,4,0
"G0800470","1880","Colorado","080","Gilpin","0470","Gilpin",6293,71,124,1
"G0800490","1880","Colorado","080","Grand","0490","Grand",413,4,0,0
"G0800510","1880","Colorado","080","Gunnison","0510","Gunnison",8189,46,0,0
"G0800530","1880","Colorado","080","Hinsdale","0530","Hinsdale",1468,16,3,0
"G0800550","1880","Colorado","080","Huerfano","0550","Huerfano",4114,0,0,10
"G0800590","1880","Colorado","080","Jefferson","0590","Jefferson",6768,34,2,0
"G0800650","1880","Colorado","080","Lake","0650","Lake",23258,298,0,7
"G0800670","1880","Colorado","080","La Plata","0670","La Plata",1109,1,0,0
"G0800690","1880","Colorado","080","Larimer","0690","Larimer",4844,43,3,2
"G0800710","1880","Colorado","080","Las Animas","0710","Las Animas",8796,53,6,48
"G0800910","1880","Colorado","080","Ouray","0910","Ouray",2659,6,3,1
"G0800930","1880","Colorado","080","Park","0930","Park",3824,14,124,8
"G0801010","1880","Colorado","080","Pueblo","1010","Pueblo",7462,147,7,1
"G0801050","1880","Colorado","080","Rio Grande","1050","Rio Grande",1936,4,0,4
"G0801070","1880","Colorado","080","Routt","1070","Routt",139,1,0,0
"G0801090","1880","Colorado","080","Saguache","1090","Saguache",1968,3,0,2
"G0801110","1880","Colorado","080","San Juan","1110","San Juan",1086,0,1,0
"G0801170","1880","Colorado","080","Summit","1170","Summit",5418,22,19,0
"G0801230","1880","Colorado","080","Weld","1230","Weld",5631,15,0,0
"G0900010","1880","Connecticut","090","Fairfield","0010","Fairfield",109827,2182,11,22
"G0900030","1880","Connecticut","090","Hartford","0030","Hartford",123085,2232,51,14
"G0900050","1880","Connecticut","090","Litchfield","0050","Litchfield",50978,1026,0,40
"G0900070","1880","Connecticut","090","Middlesex","0070","Middlesex",35204,371,7,7
"G0900090","1880","Connecticut","090","New Haven","0090","New Haven",152952,3513,44,14
"G0900110","1880","Connecticut","090","New London","0110","New London",71511,1480,14,147
"G0900130","1880","Connecticut","090","Tolland","0130","Tolland",23913,195,0,4
"G0900150","1880","Connecticut","090","Windham","0150","Windham",43299,548,2,7
"G0950015","1880","Dakota Territory","095","Aurora","0015","Aurora",69,0,0,0
"G0950035","1880","Dakota Territory","095","Barnes","0035","Barnes",1583,2,0,0
"G0950037","1880","Dakota Territory","095","Beadle","0037","Beadle",1290,0,0,0
"G0950055","1880","Dakota Territory","095","Billings","0055","Billings",1314,2,0,7
"G0950075","1880","Dakota Territory","095","Bon Homme","0075","Bon Homme",5439,22,0,7
"G0950095","1880","Dakota Territory","095","Boreman","0095","Boreman",523,8,0,3
"G0950115","1880","Dakota Territory","095","Bottineau","0115","Bottineau",0,0,0,0
"G0950135","1880","Dakota Territory","095","Brookings","0135","Brookings",4959,6,0,0
"G0950155","1880","Dakota Territory","095","Brown","0155","Brown",353,0,0,0
"G0950175","1880","Dakota Territory","095","Brule","0175","Brule",237,0,0,1
"G0950195","1880","Dakota Territory","095","Buffalo","0195","Buffalo",51,0,0,12
"G0950215","1880","Dakota Territory","095","Burleigh","0215","Burleigh",3143,73,5,25
"G0950235","1880","Dakota Territory","095","Campbell","0235","Campbell",29,0,0,21
"G0950255","1880","Dakota Territory","095","Cass","0255","Cass",8956,12,3,27
"G0950275","1880","Dakota Territory","095","Cavalier","0275","Cavalier",0,0,0,0
"G0950295","1880","Dakota Territory","095","Charles Mix","0295","Charles Mix",291,21,0,95
"G0950315","1880","Dakota Territory","095","Cheyenne","0315","Cheyenne",0,0,0,0
"G0950335","1880","Dakota Territory","095","Clark","0335","Clark",114,0,0,0
"G0950355","1880","Dakota Territory","095","Clay","0355","Clay",4998,2,0,1
"G0950375","1880","Dakota Territory","095","Codington","0375","Codington",2155,1,0,0
"G0950395","1880","Dakota Territory","095","Custer","0395","Custer",985,9,0,1
"G0950415","1880","Dakota Territory","095","Davison","0415","Davison",1255,1,0,0
"G0950435","1880","Dakota Territory","095","Day","0435","Day",86,0,0,11
"G0950455","1880","Dakota Territory","095","Delano","0455","Delano",0,0,0,0
"G0950475","1880","Dakota Territory","095","Desmet","0475","Desmet",0,0,0,0
"G0950495","1880","Dakota Territory","095","Deuel","0495","Deuel",2302,0,0,0
"G0950515","1880","Dakota Territory","095","Douglas","0515","Douglas",6,0,0,0
"G0950535","1880","Dakota Territory","095","Edmunds","0535","Edmunds",0,0,0,0
"G0950555","1880","Dakota Territory","095","Emmons","0555","Emmons",22,0,0,16
"G0950575","1880","Dakota Territory","095","Faulk","0575","Faulk",4,0,0,0
"G0950595","1880","Dakota Territory","095","Forsythe","0595","Forsythe",0,0,0,0
"G0950615","1880","Dakota Territory","095","Foster","0615","Foster",33,4,0,0
"G0950617","1880","Dakota Territory","095","Fort Sisseton","0617","Fort Sisseton",130,2,0,2
"G0950635","1880","Dakota Territory","095","Gingras","0635","Gingras",0,0,0,0
"G0950655","1880","Dakota Territory","095","Grand Forks","0655","Grand Forks",6215,4,0,29
"G0950675","1880","Dakota Territory","095","Grant","0675","Grant",2967,0,0,43
"G0950695","1880","Dakota Territory","095","Gregory","0695","Gregory",0,0,0,0
"G0950715","1880","Dakota Territory","095","Hamlin","0715","Hamlin",693,0,0,0
"G0950735","1880","Dakota Territory","095","Hand","0735","Hand",153,0,0,0
"G0950755","1880","Dakota Territory","095","Hanson","0755","Hanson",1299,0,0,2
"G0950775","1880","Dakota Territory","095","Howard","0775","Howard",12,0,0,0
"G0950795","1880","Dakota Territory","095","Hughes","0795","Hughes",139,0,0,129
"G0950815","1880","Dakota Territory","095","Hutchinson","0815","Hutchinson",5573,0,0,0
"G0950835","1880","Dakota Territory","095","Hyde","0835","Hyde",0,0,0,0
"G0950875","1880","Dakota Territory","095","Kidder","0875","Kidder",88,1,0,0
"G0950895","1880","Dakota Territory","095","Kingsbury","0895","Kingsbury",1102,0,0,0
"G0950915","1880","Dakota Territory","095","La Moure","0915","La Moure",20,0,0,0
"G0950935","1880","Dakota Territory","095","Lake","0935","Lake",2657,0,0,0
"G0950955","1880","Dakota Territory","095","Lawrence","0955","Lawrence",12921,97,220,10
"G0950975","1880","Dakota Territory","095","Lincoln","0975","Lincoln",5895,1,0,0
"G0950995","1880","Dakota Territory","095","Logan","0995","Logan",0,0,0,0
"G0951015","1880","Dakota Territory","095","Lugenbeel","1015","Lugenbeel",0,0,0,0
"G0951035","1880","Dakota Territory","095","Lyman","1035","Lyman",113,2,0,9
"G0951055","1880","Dakota Territory","095","Mandan","1055","Mandan",0,0,0,0
"G0951075","1880","Dakota Territory","095","McCook","1075","Mccook",1283,0,0,0
"G0951095","1880","Dakota Territory","095","McHenry","1095","Mchenry",0,0,0,0
"G0951115","1880","Dakota Territory","095","McPherson","1115","Mcpherson",0,0,0,0
"G0951135","1880","Dakota Territory","095","Mercer","1135","Mercer",0,0,0,0
"G0951155","1880","Dakota Territory","095","Meyer","1155","Meyer",112,3,0,0
"G0951175","1880","Dakota Territory","095","Miner","1175","Miner",363,0,0,0
"G0951195","1880","Dakota Territory","095","Minnehaha","1195","Minnehaha",8203,25,0,23
"G0951215","1880","Dakota Territory","095","Moody","1215","Moody",3689,5,0,221
"G0951235","1880","Dakota Territory","095","Morton","1235","Morton",200,0,0,0
"G0951255","1880","Dakota Territory","095","Mountraille","1255","Mountraille",13,0,0,0
"G0951275","1880","Dakota Territory","095","Pembina","1275","Pembina",4399,1,0,462
"G0951295","1880","Dakota Territory","095","Pennington","1295","Pennington",2226,8,10,0
"G0951315","1880","Dakota Territory","095","Potter","1315","Potter",0,0,0,0
"G0951335","1880","Dakota Territory","095","Pratt","1335","Pratt",0,0,0,0
"G0951355","1880","Dakota Territory","095","Presho","1355","Presho",0,0,0,0
"G0951375","1880","Dakota Territory","095","Ramsey","1375","Ramsey",278,2,0,1
"G0951395","1880","Dakota Territory","095","Ransom","1395","Ransom",537,0,0,0
"G0951415","1880","Dakota Territory","095","Renville","1415","Renville",0,0,0,0
"G0951435","1880","Dakota Territory","095","Richland","1435","Richland",3587,0,0,10
