GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,AVF001,AVF002,AVF003,AVF004,AVF005,AVF006,AVF007,AVF008,AVF009,AVF010,AVF011,AVF012,AV0001,AV0002,AV0003,AV0004,AV0005,AV0006,AV0007,AV0008
"G0101130","1890","Alabama","010","Russell","1130","Russell",18279,18655,15690,0,0,0,0,0,0,0,0,0,2682,3042,23,32,23,12,8833,9446
"G0101150","1890","Alabama","010","St Clair","1150","St Clair",3050,2834,2065,0,0,0,0,0,0,0,7,0,7198,6986,34,18,37,30,1574,1476
"G0101170","1890","Alabama","010","Shelby","1170","Shelby",6596,4983,3378,0,0,0,0,0,0,1,0,0,7026,6870,128,106,107,52,3691,2906
"G0101190","1890","Alabama","010","Sumter","1190","Sumter",23631,22277,18907,0,0,0,0,0,0,0,0,0,2767,2992,63,58,44,19,11583,12048
"G0101210","1890","Alabama","010","Talladega","1210","Talladega",13944,12504,9595,3,0,0,0,0,0,0,0,0,7519,7517,131,108,96,28,7086,6861
"G0101230","1890","Alabama","010","Tallapoosa","1230","Tallapoosa",8508,7293,4190,0,0,0,0,0,0,1,0,1,8414,8455,38,33,8,3,4210,4299
"G0101250","1890","Alabama","010","Tuscaloosa","1250","Tuscaloosa",12091,9741,8294,0,0,0,0,0,0,0,0,0,8705,8922,212,182,165,75,5934,6157
"G0101270","1890","Alabama","010","Walker","1270","Walker",1656,501,308,0,0,0,0,0,0,0,0,0,7001,6715,148,130,290,138,952,704
"G0101290","1890","Alabama","010","Washington","1290","Washington",3249,1729,1787,0,0,0,0,0,0,0,2,0,2404,2209,23,17,28,5,1694,1555
"G0101310","1890","Alabama","010","Wilcox","1310","Wilcox",24022,25117,21610,0,0,0,0,0,0,0,0,0,3394,3246,46,58,34,16,11640,12382
"G0101330","1890","Alabama","010","Winston","1330","Winston",36,17,21,0,0,0,0,0,0,0,0,0,3219,3264,14,8,8,3,18,18
"G0250055","1890","Alaska Territory","025","Northern District","0055","Northern District",97,,,5,,,,,,6439,9946,,,,,,,,,
"G0250095","1890","Alaska Territory","025","Southern District","0095","Southern District",15,,,2283,,,,,,18915,23050,,,,,,,,,
"G0450015","1890","Arizona Territory","045","Apache","0015","Apache",329,4,0,16,62,0,0,0,0,5,1819,0,1490,1253,428,418,224,118,315,35
