pane,Piece,Rep,Li7,Na23,Mg25,Al27,K39,Ca42,Ti49,Mn55,Fe57,Rb85,Sr88,Zr90,Ba137,La139,Ce140,Nd146,Hf178,Pb208,mfr
P1,2,10,1.78,100780,23880,2897,1231,67810,180.3,18.71,678,2.01,33.91,49.6,11.98,4.56,9.64,4,1.37,1.084,M1
P1,2,11,1.9,100680,23900,2894,1243.4,68190,178.5,18.31,673,2.11,33.96,50.3,11.79,4.41,9.9,4.06,1.42,1.018,M1
P1,2,12,1.96,101340,23820,2911,1247.3,68240,166.9,17.86,672,2.03,34.4,50.19,11.86,4.62,9.86,3.95,1.32,1.097,M1
P1,2,13,1.86,101030,23630,2877,1246,67220,171.9,18.29,673,2.06,33.56,48.6,11.62,4.44,9.66,3.71,1.29,1.039,M1
P1,2,14,2.01,101050,23690,2871,1240.5,67850,183.8,18.62,686,2.1,33.81,49.34,11.98,4.56,9.9,4.05,1.288,1.091,M1
P1,2,15,1.54,100610,23930,2907,1225.5,68340,176.7,18.48,674,2.05,33.89,50.74,11.93,4.5,10.01,3.99,1.31,1.098,M1
P1,2,16,1.58,101030,23900,2903,1233,68450,180.7,18.47,678,2.14,34.04,49.9,11.72,4.3,9.85,4.05,1.376,1.086,M1
P1,2,17,1.73,101170,23870,2903,1249,68600,178.8,18.44,665,1.99,33.99,49.5,11.98,4.6,9.97,3.79,1.334,1.079,M1
P1,2,18,1.62,101330,23850,2893,1245.5,68610,177.5,18.37,669,2.15,33.71,48.69,12.89,4.67,9.93,4.19,1.23,1.089,M1
P1,2,19,1.42,100820,23960,2885,1239.1,68010,181.6,18.46,685,2,33.29,50.22,11.95,4.53,9.73,3.85,1.26,1.073,M1
P1,2,20,1.68,101090,23960,2900,1232,68160,179.9,18.55,676,2.08,34.17,48.9,11.68,4.57,9.9,3.8,1.27,1.066,M1
P1,3,1,1.41,97940,24180,2990,1206.6,69900,184.7,18.41,680,1.88,34.48,51.9,11.58,4.58,9.92,3.91,1.33,1.105,M1
P1,3,2,1.44,98760,24270,2986,1214.7,70090,181.2,18.57,682,2.03,34.84,48,11.51,4.52,9.8,4.02,1.279,1.109,M1
P1,3,3,1.47,98750,24190,2975,1212.8,69450,176.1,18.28,691,2.02,34.88,52.2,11.8,4.55,9.94,4.14,1.4,1.036,M1
P1,3,4,1.46,99330,24040,2979,1203.3,69320,182.7,18.45,679,2.13,34.28,50.9,11.7,4.71,9.72,4.03,1.36,1.086,M1
P1,3,5,1.49,98850,23830,2956,1221.8,69560,184.7,18.63,677,2.2,34.71,50.8,11.53,4.56,9.86,3.97,1.37,1.041,M1
P1,4,1,1.74,99080,23790,2889,1201,67560,181.1,18.23,651,2.1,33.08,48,11.77,4.52,9.78,3.9,1.26,1.054,M1
P1,4,2,1.67,99750,23860,2827,1217,66390,181.5,18.24,685,2.18,33.04,49.15,11.48,4.35,9.48,3.99,1.29,1.142,M1
P1,4,3,1.74,99420,23740,2870,1216.3,67460,173.1,18.49,657,1.98,32.94,49.15,11.83,4.51,9.65,3.82,1.33,1.111,M1
P1,4,4,1.76,100170,23600,2805,1224.8,66620,177.6,18.6,673,2.26,32.69,47.6,10.89,4.21,9.59,3.62,1.245,1.108,M1
P1,4,5,1.53,99580,23660,2849,1219.3,67000,178.2,17.76,674,2.11,33.33,47.76,11.61,4.32,9.75,3.88,1.24,1.097,M1
P1,5,1,1.52,99650,23730,2834,1213.4,66470,174.5,18.23,660,2.13,32.37,46.3,11.73,4.18,9.71,3.58,1.2,1.097,M1
P1,5,2,1.44,99540,23800,2872,1212.4,67580,177.3,18.43,671,2.04,33.17,48.1,11.53,4.58,9.76,3.91,1.37,1.085,M1
P1,5,3,1.87,100160,23530,2806,1214.5,66190,178.6,18.42,675,2.11,32.85,47.1,11.73,4.12,9.59,3.72,1.35,1.136,M1
P1,5,4,1.33,99990,23620,2874,1219.8,67130,176.8,18.39,674,2.1,33.25,49.2,10.56,4.46,9.72,3.69,1.3,1.13,M1
P1,5,5,1.74,100600,23590,2808,1216.5,65900,177.1,18.25,650,2.11,32.77,47.7,11.47,4.25,9.81,3.54,1.24,1.112,M1
P1,6,1,1.71,99410,23500,2797,1216,66030,174.2,18.35,669,2.12,32.58,42.4,11.29,4.22,9.41,3.66,1.17,1.106,M1
P1,6,2,1.64,99850,23420,2762,1220.1,65690,174.2,18.15,665,2.09,32.42,42.25,11.31,4.23,9.63,3.79,1.12,1.071,M1
P1,6,3,1.94,100850,23330,2747,1221.2,64780,172.1,18.08,660,2.09,32.06,41.9,11.17,4.16,9.63,3.64,1.11,1.037,M1
P1,6,4,1.93,99560,23580,2789,1215.7,65970,175.8,18.09,670,2.1,32.15,47,11.54,4.38,9.65,3.61,1.16,1.11,M1
P1,6,5,1.57,100100,23310,2761,1230.3,66080,176.7,18.26,668,2.14,32.47,45.3,11.37,4.25,9.8,3.75,1.194,1.104,M1
P1,7,1,2.05,101690,22880,2633,1242.6,62760,160.1,18.16,653,2.21,30.22,41.6,11.53,3.99,9.44,3.53,1.105,1.063,M1
P1,7,2,2.3,101670,22980,2668,1230.1,62970,170.2,18.28,662,2.11,31.31,43.6,10.94,4.27,9.51,3.46,1.2,1.129,M1
P1,7,3,1.83,102160,23060,2652,1239,63470,172.1,18.13,678,2.18,30.18,44.8,10.24,4.05,9.42,3.41,1.185,1.095,M1
P1,7,4,2,100750,23050,2671,1235.1,63550,163.5,17.69,682,2.07,31.22,44.6,10.89,4.04,9.41,3.58,1.23,1.088,M1
P1,7,5,1.81,100910,23110,2684,1233.1,63620,169.8,17.9,659,2.02,31.41,43.9,10.49,4.21,9.38,3.21,1.204,1.104,M1
P1,8,1,1.58,100880,23260,2699,1224.1,63910,173.1,17.8,682,2.16,31.77,42.7,11.1,4.02,9.36,3.39,1.21,1.132,M1
P1,8,2,1.88,101270,23210,2685,1231.5,63800,173.4,18,650,2.06,31.93,41.88,11.22,4.12,9.61,3.55,1.14,1.118,M1
P1,8,3,1.7,101360,23220,2692,1224.2,63780,170.1,17.79,670,1.97,31.25,42.8,11.37,4.13,9.74,3.59,1.066,1.154,M1
P1,8,4,1.67,101370,23090,2678,1226.3,63590,165.9,18.32,652,2.1,31.4,40.13,11.04,3.98,9.59,3.6,1.18,1.09,M1
P1,8,5,1.74,101260,23130,2693,1234.9,63950,168.6,18.29,660,2,31.19,43.4,10.51,4.04,9.63,3.56,1.21,1.125,M1
P1,9,1,1.74,100970,23130,2701,1225.4,64040,168.3,18.3,665,2.12,31.64,45.6,11.38,4.09,9.59,3.6,1.16,1.129,M1
P1,9,2,1.68,101510,23160,2708,1238.7,64200,169.5,18.16,676,2.05,31.11,44.4,11.47,4.13,9.6,3.3,1.13,1.127,M1
P1,9,3,1.88,102230,23090,2679,1245.3,63660,167.3,18.1,657,2.08,31.23,43.9,10.36,4.04,9.59,3.8,1.109,1.08,M1
P1,9,4,1.66,101740,23060,2717,1246.7,64370,170.4,18.25,666,2.1,32.03,43.3,11.46,4.18,9.49,3.33,1.17,1.122,M1
P1,9,5,1.29,101380,23210,2720,1234.4,64510,171.7,18.1,665,2.16,32.22,45.1,11.29,4.12,9.55,3.34,1.14,1.106,M1
P1,10,1,1.53,101590,23200,2709,1235.7,63720,172.7,18.01,677,2.08,31.61,45.9,10.82,4.14,9.42,3.58,1.12,1.136,M1
P1,10,2,1.98,102120,23060,2704,1248.8,63960,173.6,17.96,671,2.05,31.65,43.2,11.5,4.11,9.59,3.74,1.18,1.166,M1
P1,10,3,1.93,102170,22930,2687,1231.9,63900,169.8,17.85,657,2.01,31.15,45.45,11.17,4.08,9.49,3.29,1.3,1.113,M1
P1,10,4,2.01,101640,22920,2677,1240.4,63040,163,17.74,674,2.09,30.7,44.1,10.45,4.06,9.4,3.56,1.2,1.074,M1
P1,10,5,1.69,101590,22900,2691,1239.3,63420,177.9,18.13,658,2.06,31.17,42.8,10.8,3.95,9.7,3.31,1.091,1.11,M1
P1,11,1,1.4,101200,23020,2725,1225.3,63920,173.8,18.05,664,2.13,31.02,45.8,10.96,4.21,9.44,3.35,1.12,1.067,M1
P1,11,2,1.84,102340,23160,2715,1232.2,64040,170,18.6,665,2.13,31.28,45.8,11.28,4.1,9.77,3.53,1.18,1.105,M1
P1,11,3,1.67,101660,23130,2699,1234.5,64020,179.6,18.43,675,2.01,31.8,45.1,11.37,4.07,9.62,3.41,1.13,1.09,M1
P1,11,4,2.21,102660,23150,2709,1242,64190,177.1,18.11,661,2.13,31.81,45.4,10.76,4.03,9.61,3.42,1.19,1.102,M1
P1,11,5,1.78,101920,23070,2724,1242.2,64350,172.7,18.26,662,2.11,31.67,45.5,10.9,3.94,9.38,3.64,1.14,1.05,M1
P1,12,1,1.7,100690,23090,2695,1227.7,63770,172.7,18.11,656,2.06,31.41,43.4,10.85,4.09,9.64,3.66,1.12,1.083,M1
P1,12,2,1.12,102120,23220,2712,1236.3,64200,174.8,18.28,664,2.06,31.92,40.92,11.57,4.2,9.66,3.7,1.08,1.106,M1
P1,12,3,1.89,102220,23200,2716,1237,64560,175.5,18.43,649,1.91,31.66,45.8,11.02,4.2,9.57,3.48,1.153,1.12,M1
P1,12,4,1.76,101880,23090,2709,1235.6,64250,166.4,18.08,666,2.13,31.79,43.81,11.52,4.13,9.57,3.65,1.23,1.089,M1
P1,12,5,1.69,100820,23190,2729,1232.5,64580,172.2,18.18,651,2.05,31.44,41.6,11.12,4.17,9.62,3.77,1.05,1.12,M1
P1,13,1,1.91,99900,23410,2812,1219.1,66280,185,18.38,663,2.16,32.32,47.4,11.02,4.29,9.88,3.79,1.25,1.083,M1
P1,13,2,1.47,99960,23420,2812,1218,66460,172.8,17.86,657,1.96,32.65,46.8,11.3,4.31,9.66,3.51,1.26,1.039,M1
P1,13,3,1.47,100890,23370,2785,1215.9,65260,174,17.97,671,2.11,32.17,46.4,10.97,4.2,9.83,3.64,1.3,1.099,M1
P1,13,4,1.13,101030,23540,2803,1214.9,65470,178.1,18.46,650,2.08,32.74,46.6,11.05,4.3,9.77,3.69,1.22,1.1,M1
P1,13,5,1.56,99610,23400,2827,1203.9,65900,188.8,18.48,678,2.08,32.72,45.93,11.76,4.37,9.66,3.52,1.13,1.099,M1
P1,14,1,1.51,98910,23690,2900,1199.5,67700,178,18.34,661,1.98,33.44,50.4,12.28,4.21,9.72,3.6,1.23,1.091,M1
P1,14,2,1.58,99890,23650,2880,1204.4,66940,177.1,18.67,641,1.92,33.55,48.47,11.65,4.29,9.74,3.65,1.3,1.149,M1
P1,14,3,1.64,100520,23520,2848,1222,66970,176.4,17.84,656,2.11,33.14,48.66,11.43,4.31,9.53,3.86,1.23,1.08,M1
P1,14,4,1.57,100770,23560,2818,1221.2,65810,174.6,18.77,649,2,32.55,47.1,11.15,4.42,9.78,3.64,1.32,1.033,M1
P1,14,5,1.56,100780,23470,2825,1216,65990,176.2,17.91,650,2.09,32.74,45.7,10.99,4.3,9.67,3.52,1.26,1.155,M1
P1,14,6,1.65,101500,23590,2821,1233.4,65920,178.1,18.32,658,2.13,32.38,44.1,10.94,4.37,9.76,3.81,1.2,1.127,M1
P1,14,7,1.45,101250,23400,2823,1217,66100,179.4,17.79,680,2.13,32.95,48.1,11.62,4.46,9.61,3.88,1.23,1.022,M1
P1,14,8,1.65,101140,23390,2830,1232,66270,181.1,17.84,668,2.26,32.96,47.8,11.75,4.28,9.86,3.79,1.26,1.071,M1
P1,14,9,1.42,100430,23770,2898,1216.1,67510,176.6,17.93,659,2.03,33.57,49.1,11.79,4.53,9.63,4.05,1.38,1.122,M1
P1,14,10,1.85,100540,23520,2853,1224.9,67240,175.3,18.22,658,2.07,32.8,49.7,11.21,4.33,9.7,3.51,1.29,1.079,M1
P1,14,11,1.32,101530,23390,2828,1229,65740,175.6,18.34,645,2.12,32.88,46,11.3,4.17,9.77,3.63,1.3,1.09,M1
P1,14,12,1.82,101530,23480,2794,1234.1,65880,180.8,18.31,659,2.02,32.85,42.84,10.93,4.19,9.75,3.74,1.07,1.07,M1
P1,14,13,1.53,102080,23560,2803,1240,65890,174.8,18.47,666,2.09,32.74,45.21,11.52,4.36,9.99,3.34,1.188,1.085,M1
P1,14,14,1.4,100340,23580,2871,1221.7,66910,178.2,17.71,662,2.02,32.86,48.8,11.66,4.45,9.79,3.63,1.3,1.132,M1
P1,14,15,1.86,101030,23480,2831,1234.3,66540,173.2,17.96,657,1.94,32.9,45,11.43,4.29,9.81,3.84,1.23,1.119,M1
P1,14,16,1.7,101430,23450,2823,1222.7,65690,172.5,18.11,660,2.07,32.49,47,10.64,4.3,9.69,3.61,1.26,1.116,M1
P1,14,17,1.66,101830,23330,2793,1236,65260,174.3,18.05,658,2.14,32.62,45.22,11.51,4.27,9.67,3.59,1.216,1.063,M1
P1,14,18,1.67,101050,23320,2809,1217.5,65580,174.4,18.03,652,2.18,32.08,43.81,10.81,4.2,9.56,3.63,1.05,1.085,M1
P1,14,19,1.65,101050,23360,2836,1234.2,66410,172.7,18.04,663,2.19,32.89,44.89,11.07,4.27,9.74,3.64,1.19,1.076,M1
P1,14,20,1.42,100220,23330,2826,1224.7,66100,179.7,18.48,688,2.06,32.36,42.8,12.07,4.32,9.63,3.83,1.056,1.118,M1
P1,15,1,1.85,99100,23410,2818,1195.9,65550,178.2,18.01,673,2.1,32.75,47.8,11.08,4.3,9.76,3.49,1.26,1.09,M1
P1,15,2,1.73,100390,23320,2786,1205.1,65230,176.3,17.68,654,2.15,31.98,47,11.34,4.19,9.55,3.57,1.23,1.112,M1
P1,15,3,1.76,100060,23490,2857,1204.4,66320,177.5,17.87,647,2.11,32.69,48.7,10.83,4.28,9.65,3.55,1.24,1.057,M1
P1,15,4,1.49,100180,23520,2808,1204.5,65210,174.8,18.12,657,2.13,32.22,45.8,10.95,4.13,9.57,3.63,1.202,1.116,M1
P1,15,5,1.79,99420,23450,2820,1191.9,65720,175.3,18,654,1.9,32.35,43.14,11.76,4.26,9.43,3.85,1.08,1.024,M1
P1,16,1,1.48,99470,23480,2805,1196.9,65380,176.7,17.96,647,2.06,31.96,45.6,11.32,4.19,9.44,3.35,1.19,1.114,M1
P1,16,2,1.77,100610,23610,2816,1197.4,64660,179.4,18.22,642,2.06,32.6,42.6,11.31,4.21,9.6,3.64,1.066,1.068,M1
P1,16,3,1.6,99960,23110,2728,1205.7,63930,171.1,18.43,663,1.99,31.3,42.3,10.44,4.13,9.32,3.26,1.09,1.081,M1
P1,16,4,1.68,100630,23080,2704,1204.8,63050,168.9,17.93,646,2.02,31.44,39.59,10.66,3.97,9.38,3.51,0.961,1.064,M1
P1,16,5,1.59,100520,23060,2708,1213.4,63090,167.6,17.83,673,2.08,31.5,42.7,11.08,3.95,9.49,3.57,1.09,1.094,M1
P1,17,1,1.7,100950,23040,2704,1209.1,62960,171,17.8,644,2.17,31.1,43.4,10.95,4.17,9.37,3.58,1.084,1.09,M1
P1,17,2,1.51,100480,22900,2693,1209.8,62730,172.1,17.93,656,2.14,30.94,40.75,10.68,3.89,9.47,3.44,1.07,1.089,M1
P1,17,3,1.52,102160,23110,2705,1211.7,63530,171.2,17.75,648,1.95,31.22,40.9,10.63,4.08,9.55,3.56,1.009,1.077,M1
P1,17,4,1.45,101710,23090,2707,1216.2,62920,167.5,17.75,659,2.24,31.19,44.81,10.68,4.03,9.27,3.33,1.22,1.174,M1
P1,17,5,1.56,101530,22970,2705,1219,63330,171.6,17.91,667,2.13,31.51,43.8,11.24,4.12,9.33,3.59,1.2,1.054,M1
P1,18,1,1.61,101730,22950,2691,1217.8,62920,170,18.15,677,2.02,31.44,43.4,10.73,3.91,9.51,3.53,1.06,1.107,M1
P1,18,2,1.81,102300,23030,2673,1232.4,63520,171.8,18.35,650,2.23,31.92,44.4,10.99,4.15,9.47,3.6,1.06,1.114,M1
P1,18,3,1.48,101450,22990,2713,1215.1,63770,170.3,18.16,659,2,31.23,44.85,11.09,4,9.55,3.44,1.056,1.084,M1
P1,18,4,1.89,103360,23220,2708,1234.8,63120,168,17.96,648,2.18,31.42,45.2,10.85,4.05,9.83,3.35,1.16,1.143,M1
P1,18,5,2.06,102500,23150,2702,1235.7,63450,169,17.84,658,2.07,32.14,42.7,10.48,4.08,9.54,3.43,1.15,1.044,M1
P1,19,1,1.47,100500,23020,2720,1211.2,63520,176.5,18.13,670,2.01,31.96,41.8,11.37,4.08,9.38,3.56,0.97,1.09,M1
P1,19,2,1.67,100480,23100,2731,1205.4,63670,172.4,17.38,671,2.08,32.06,46.5,10.91,4.11,9.31,3.5,1.24,1.074,M1
P1,19,3,1.69,101040,23090,2736,1221.7,64080,170.5,17.76,678,2.07,31.63,43.7,11.39,4.09,9.24,3.45,1.29,1.125,M1
P1,19,4,2.03,101110,23020,2719,1217.7,64300,173.5,18.01,649,2.07,31.82,46.1,11.14,4.25,9.49,3.55,1.22,1.108,M1
P1,19,5,1.24,100390,22990,2737,1205.6,63970,167.3,17.97,671,2.1,31.38,44.61,11.25,4.29,9.57,3.61,1.12,1.066,M1
P1,20,1,1.85,100430,23000,2731,1200.9,64270,175.8,18.16,657,2.01,31.9,41.7,10.74,4.13,9.44,3.32,1.15,1.081,M1
P1,20,2,1.31,100680,23020,2742,1195.5,63830,165.4,18.02,665,2.09,31.61,44.7,11.14,4.28,9.55,3.54,1.08,1.045,M1
P1,20,3,1.59,101270,22930,2716,1219.1,63840,171.8,18.15,656,2.02,31.56,43.71,10.87,4.42,9.52,3.36,1.13,1.008,M1
P1,20,4,1.81,101690,22970,2713,1219.9,63330,166.7,17.73,656,2.07,31.64,43.7,10.34,4.25,9.51,3.71,1.056,1.055,M1
P1,20,5,1.71,101850,23140,2740,1225,64000,170.3,18.24,661,2.16,31.77,45.83,11.23,4.31,9.53,3.42,1.18,1.112,M1
P1,21,1,1.28,100950,23170,2748,1216.1,64440,174.5,17.83,659,2,31.65,39.9,10.79,4.17,9.4,3.24,1.09,1.086,M1
P1,21,2,1.43,100340,22940,2735,1207.4,64460,172.3,17.76,663,2.06,31.69,45.4,10.93,4.05,9.71,3.29,1.13,1.13,M1
P1,21,3,1.28,101240,23200,2736,1216.8,64320,180.6,18.01,658,2.04,32.23,45.3,11.43,4.05,9.7,3.9,1.069,1.102,M1
P1,21,4,1.38,101830,23100,2724,1222.8,64140,177.2,17.81,670,2.03,31.39,45.5,11.27,4.15,9.68,3.49,1.18,1.091,M1
P1,21,5,1.37,101780,23020,2713,1225.8,63860,180.5,17.97,665,2.05,31.92,40.8,11.02,4.11,9.95,3.61,1.13,1.093,M1
P1,22,1,1.87,100370,23120,2679,1202.2,63010,171.9,18.03,664,2.11,31.12,43.49,10.63,3.88,9.08,3.49,1.06,1.04,M1
P1,22,2,1.64,99920,23040,2696,1197.1,63000,171.7,18.05,655,2.07,31.09,45.1,10.49,3.83,9.31,3.24,1.26,1.089,M1
P1,22,3,1.76,100150,22930,2679,1205.6,62440,171.8,17.9,670,1.97,31.05,44.7,10.67,3.99,9.31,3.62,1.16,1.091,M1
P1,22,4,1.58,99920,23090,2710,1189.7,62600,172.4,18.03,655,2.04,31.28,45.51,10.21,4.1,9.28,3.46,1.2,1.098,M1
P1,22,5,1.73,99630,22960,2700,1204.2,63510,173.3,17.88,653,2.05,31.49,45.1,10.57,4.08,9.29,3.54,1.167,1.044,M1
P1,23,1,1.68,101400,23360,2699,1197.5,63150,170.4,18.24,673,2.13,31.16,41.7,10.73,4.27,9.43,3.32,1.03,1.093,M1
P1,23,2,1.73,101510,23260,2707,1205.2,63000,170.2,17.84,661,2.13,31.42,41.23,10.91,4.21,9.6,3.57,1.121,1.049,M1
P1,23,3,1.65,102290,23270,2675,1224.5,62010,176.5,18.11,660,2.18,30.93,41.47,10.71,4.01,9.42,3.7,1.121,1.077,M1
P1,23,4,1.91,102530,23250,2701,1215.8,62630,161.7,17.86,679,2.12,31.23,42.96,10.7,4.13,9.34,3.39,1.16,1.046,M1
P1,23,5,1.64,102310,23340,2703,1216.9,62690,168.9,18.19,661,2.2,31.06,42.2,10.37,4.02,9.57,3.59,1.18,1.088,M1
P1,24,1,1.65,101180,23340,2666,1205.3,62390,169.3,18.17,638,2.08,30.93,43.2,11.12,3.94,9.31,3.69,1.17,1.145,M1
P1,24,2,1.59,101460,23170,2659,1208.4,62710,174.3,17.84,669,1.99,31.15,42.6,11.12,3.97,9.25,3.45,1.14,1.095,M1
P1,24,3,1.79,102670,23290,2662,1224.3,62430,168.6,18.11,663,2.08,31.05,43.12,10.41,3.98,9.71,3.66,1.12,1.035,M1
P1,24,4,1.92,102070,23000,2628,1233,61810,166.5,17.65,662,2,30.86,41.8,10.93,4.03,9.53,3.45,1.1,1.035,M1
P1,24,5,1.75,102930,23200,2638,1239.8,62520,166.5,18.01,682,2.13,31.2,41.29,10.91,4.12,9.52,3.25,1.004,1.025,M1
P1,24,6,1.92,102650,23250,2656,1225,62480,168,17.86,674,2.16,31.24,39.5,10.99,4.05,9.46,3.5,1.053,1.115,M1
P1,24,7,2.15,102580,23270,2641,1225.7,62170,167.2,17.7,661,2.11,31.11,40,10.49,4,9.49,3.42,0.978,1.072,M1
P1,24,8,1.43,102260,23280,2659,1223.9,62230,165.7,18.08,667,2.12,31.56,39.2,11.03,4.06,9.66,3.35,1.08,1.074,M1
P1,24,9,1.59,102050,23280,2654,1223.8,62220,168.2,17.88,675,2.11,30.83,42.4,10.71,3.81,9.58,3.41,1.126,1.112,M1
P1,24,10,1.56,101710,23130,2649,1231,62370,167.7,18.13,671,2.09,31.2,43.11,10.63,4.03,9.62,3.58,1.06,1.092,M1
P1,24,11,1.78,102620,23100,2623,1234,62190,167,17.88,680,2.21,30.94,43.6,10.61,4.05,9.46,3.47,1.24,1.131,M1
P1,24,12,1.91,102550,23030,2643,1232,62100,173.2,18,666,2.12,31.17,43.6,10.98,4.1,9.47,3.7,1.072,1.117,M1
P1,24,13,1.83,101000,23180,2671,1224.7,63100,169.8,17.93,677,2.06,31.35,44.4,10.83,4.26,9.63,3.49,1.239,1.052,M1
P1,24,14,1.59,102080,23330,2664,1216,62600,170.9,18.23,670,2.13,31.35,43.9,11.17,4.15,9.64,3.55,1.19,1.097,M1
P1,24,15,1.8,100900,22960,2637,1214.3,61930,168,17.71,656,2.23,31.34,42.4,10.37,4.16,9.48,3.25,0.979,1.071,M1
P1,24,16,1.8,101440,23130,2648,1208.7,62100,172.5,17.78,672,2,31.54,46.01,10.68,4.11,9.45,3.67,1.28,1.093,M1
P1,24,17,1.69,101260,23110,2654,1218,62230,165.9,17.97,671,2.09,30.85,44.61,10.95,4.06,9.51,3.55,1.21,1.118,M1
P1,24,18,1.77,101980,23250,2652,1222,62360,174.7,18.45,677,2.15,32.01,43.55,11.07,4.15,9.49,3.73,1.29,1.077,M1
P1,24,19,1.72,101480,23150,2653,1223.4,62550,176.7,18.23,682,2.12,32.02,43.8,11.01,4.07,9.45,3.41,1.19,1.146,M1
P1,24,20,1.76,100990,23190,2676,1221.2,63130,177.9,17.85,677,2.19,31.6,44,10.78,4.17,9.43,3.47,1.13,1.107,M1
P2,1,1,1.32,98600,24200,2854,1209,65280,166.6,18.8,663,2.01,31.9,35.1,10.77,4.18,9.28,3.79,0.975,1.011,M1
P2,1,2,1.8,101100,23140,2664,1238,62510,167.4,18.25,673,2.14,30.68,33.33,10.48,4.04,9.52,3.52,0.913,1.053,M1
P2,1,3,1.36,101400,23190,2652,1226,63010,164.7,18.54,669,1.97,30.62,34.53,10.36,4.02,9.44,3.38,0.94,1.058,M1
P2,1,4,1.65,100600,23120,2659,1244,62750,164,18.48,673,2.11,30.86,33.9,10.57,4.03,9.43,3.38,0.876,1.124,M1
P2,1,5,1.58,99530,23140,2698,1228,63900,166.7,18.53,682,2.13,31.07,32.48,11.3,4.24,9.62,3.42,0.94,1.046,M1
P2,2,1,1.6,98300,23800,2804,1200,65230,169.4,18.67,662,2.06,31.85,35.55,10.95,4.16,9.75,3.33,0.988,1.008,M1
P2,2,2,1.75,98200,23330,2785,1207,64300,172.8,18.34,665,2.01,31.31,33.91,11.6,4.24,9.63,3.47,1.023,0.951,M1
P2,2,3,1.71,98800,23510,2747,1216,64600,165.8,18.53,664,2.08,31.52,37.8,11.1,4.27,9.56,3.35,0.978,1.064,M1
P2,2,4,1.42,98120,23320,2744,1212,64300,166.3,18.67,655,2.19,31.4,37.06,11.13,4.11,9.58,3.52,0.996,1.027,M1
P2,2,5,1.5,98280,23350,2753,1215,64950,166.5,18.87,663,2.02,31.19,37.44,11,4.34,9.7,3.52,0.983,1.09,M1
P2,2,6,1.47,99420,23560,2756,1227,64970,164.9,18.44,678,2.1,31.4,37.69,11.38,4.22,9.88,3.51,1.065,1.065,M1
P2,2,7,1.52,99200,23560,2726,1218,64850,168.2,18.87,664,2.06,31.25,37.1,10.68,4.17,9.6,3.55,1.015,0.988,M1
P2,2,8,1.35,97450,23430,2786,1204,64960,167.1,18.36,656,2.07,31.62,36.4,11.11,4.26,9.66,3.26,1.033,1.026,M1
P2,2,9,1.66,99750,23370,2743,1228,64870,167.1,18.88,681,2.12,31.35,37.5,11.49,4.22,9.88,3.65,1.015,1.036,M1
P2,2,10,1.64,99500,23270,2710,1229,64350,166.7,18.63,673,1.98,31.18,37.55,11.04,4.13,9.74,3.42,0.973,1.08,M1
P2,2,11,1.52,98480,23520,2775,1230,65710,174.7,18.64,674,2.04,31.29,38.4,10.83,4.3,9.72,3.55,1.051,0.994,M1
