GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,AK3001,AK3002,AK3003,AK3004
"G0600990","1870","California","060","Stanislaus","0990","Stanislaus",6189,4,306,0
"G0601010","1870","California","060","Sutter","1010","Sutter",4791,31,208,0
"G0601030","1870","California","060","Tehama","1030","Tehama",3166,73,294,54
"G0601050","1870","California","060","Trinity","1050","Trinity",1951,23,1099,140
"G0601070","1870","California","060","Tulare","1070","Tulare",4391,39,99,4
"G0601090","1870","California","060","Tuolumne","1090","Tuolumne",6556,67,1524,3
"G0601130","1870","California","060","Yolo","1130","Yolo",9318,69,395,117
"G0601150","1870","California","060","Yuba","1150","Yuba",8362,152,2337,0
"G0850015","1870","Colorado Territory","085","Arapahoe","0015","Arapahoe",6566,257,4,2
"G0850035","1870","Colorado Territory","085","Bent","0035","Bent",570,11,0,11
"G0850055","1870","Colorado Territory","085","Boulder","0055","Boulder",1938,1,0,0
"G0850075","1870","Colorado Territory","085","Clear Creek","0075","Clear Creek",1572,22,2,0
"G0850095","1870","Colorado Territory","085","Conejos","0095","Conejos",2470,0,0,34
"G0850115","1870","Colorado Territory","085","Costilla","0115","Costilla",1761,1,0,17
"G0850135","1870","Colorado Territory","085","Douglas","0135","Douglas",1385,2,0,1
"G0850155","1870","Colorado Territory","085","El Paso","0155","El Paso",986,1,0,0
"G0850175","1870","Colorado Territory","085","Fremont","0175","Fremont",1063,1,0,0
"G0850195","1870","Colorado Territory","085","Gilpin","0195","Gilpin",5429,60,1,0
"G0850215","1870","Colorado Territory","085","Greenwood","0215","Greenwood",479,31,0,0
"G0850235","1870","Colorado Territory","085","Huerfano","0235","Huerfano",2217,2,0,31
"G0850255","1870","Colorado Territory","085","Jefferson","0255","Jefferson",2370,20,0,0
"G0850275","1870","Colorado Territory","085","Lake","0275","Lake",521,1,0,0
"G0850295","1870","Colorado Territory","085","Larimer","0295","Larimer",828,0,0,10
"G0850315","1870","Colorado Territory","085","Las Animas","0315","Las Animas",4191,13,0,72
"G0850335","1870","Colorado Territory","085","Park","0335","Park",446,1,0,0
"G0850355","1870","Colorado Territory","085","Pueblo","0355","Pueblo",2237,27,0,1
"G0850375","1870","Colorado Territory","085","Saguache","0375","Saguache",304,0,0,0
"G0850395","1870","Colorado Territory","085","Summit","0395","Summit",253,5,0,0
"G0850415","1870","Colorado Territory","085","Weld","0415","Weld",1635,0,0,1
"G0900010","1870","Connecticut","090","Fairfield","0010","Fairfield",93582,1680,0,14
"G0900030","1870","Connecticut","090","Hartford","0030","Hartford",107252,1752,1,2
"G0900050","1870","Connecticut","090","Litchfield","0050","Litchfield",47648,1052,0,27
"G0900070","1870","Connecticut","090","Middlesex","0070","Middlesex",35722,372,0,5
"G0900090","1870","Connecticut","090","New Haven","0090","New Haven",118517,2734,0,6
"G0900110","1870","Connecticut","090","New London","0110","New London",65010,1419,0,141
"G0900130","1870","Connecticut","090","Tolland","0130","Tolland",21801,199,0,0
"G0900150","1870","Connecticut","090","Windham","0150","Windham",38017,460,1,40
"G0950075","1870","Dakota Territory","095","Bon Homme","0075","Bon Homme",592,4,0,12
"G0950135","1870","Dakota Territory","095","Brookings","0135","Brookings",18,0,0,145
"G0950195","1870","Dakota Territory","095","Buffalo","0195","Buffalo",214,9,0,23
"G0950295","1870","Dakota Territory","095","Charles Mix","0295","Charles Mix",35,0,0,117
"G0950355","1870","Dakota Territory","095","Clay","0355","Clay",2618,2,0,1
"G0950495","1870","Dakota Territory","095","Deuel","0495","Deuel",17,0,0,20
"G0950815","1870","Dakota Territory","095","Hutchinson","0815","Hutchinson",37,0,0,0
"G0950855","1870","Dakota Territory","095","Jayne","0855","Jayne",3,2,0,0
"G0950975","1870","Dakota Territory","095","Lincoln","0975","Lincoln",712,0,0,0
"G0951195","1870","Dakota Territory","095","Minnehaha","1195","Minnehaha",301,0,0,54
"G0951275","1870","Dakota Territory","095","Pembina","1275","Pembina",404,1,0,808
"G0951655","1870","Dakota Territory","095","Todd","1655","Todd",321,16,0,0
"G0951735","1870","Dakota Territory","095","Union","1735","Union",3496,0,0,11
"G0951755","1870","Dakota Territory","095","Unorganized Territory","1755","Unorganized Territory",2042,41,0,8
"G0951855","1870","Dakota Territory","095","Yankton","1855","Yankton",2077,19,0,1
"G1000010","1870","Delaware","100","Kent","0010","Kent",22640,7164,0,0
"G1000030","1870","Delaware","100","New Castle","0030","New Castle",53323,10192,0,0
"G1000050","1870","Delaware","100","Sussex","0050","Sussex",26258,5438,0,0
"G1100010","1870","District Of Columbia","110","District Of Columbia","0010","District Of Columbia",88278,43404,3,15
"G1200010","1870","Florida","120","Alachua","0010","Alachua",4935,12393,0,0
"G1200030","1870","Florida","120","Baker","0030","Baker",1035,290,0,0
"G1200070","1870","Florida","120","Bradford","0070","Bradford",2847,824,0,0
"G1200090","1870","Florida","120","Brevard","0090","Brevard",1197,19,0,0
"G1200130","1870","Florida","120","Calhoun","0130","Calhoun",754,244,0,0
"G1200190","1870","Florida","120","Clay","0190","Clay",1699,399,0,0
"G1200230","1870","Florida","120","Columbia","0230","Columbia",4107,3228,0,0
"G1200250","1870","Florida","120","Dade","0250","Dade",72,13,0,0
"G1200310","1870","Florida","120","Duval","0310","Duval",5141,6780,0,0
