"Year","State","TOTAL.POPULATION","ALL.OTHER.FREE.PERSONS","FREE.COLORED.SLAVEHOLDING.FAMILIES","FREE.COLORED.NONSLAVEHOLDING.FAMILIES","Type","TOTAL.FREE.PERSONS","FREE.COLORED.MALES","FREE.COLORED.FEMALES","TOTAL.FREE.COLORED.PERSONS","TOTAL.FREE.COLORED.FEMALES","TOTAL.FREE.COLORED.MALES","TOTAL.FREE.COLORED.POPULATION"
1830,"MICHIGAN",31639,NA,NA,NA,"Territory",NA,NA,NA,261,102,159,NA
1830,"MISSISSIPPI",136621,NA,NA,NA,"State",NA,NA,NA,519,231,288,NA
1830,"MISSOURI",140455,NA,NA,NA,"State",NA,NA,NA,569,285,284,NA
1830,"NEW HAMPSHIRE",269328,NA,NA,NA,"State",NA,NA,NA,604,329,275,NA
1830,"NEW JERSEY",320823,NA,NA,NA,"State",NA,NA,NA,18303,8802,9501,NA
1830,"NEW YORK",1918608,NA,NA,NA,"State",NA,NA,NA,44870,23404,21466,NA
1830,"NORTH CAROLINA",737987,NA,NA,NA,"State",NA,NA,NA,19543,9982,9561,NA
1830,"OHIO",937903,NA,NA,NA,"State",NA,NA,NA,9568,4779,4789,NA
1830,"PENNSYLVANIA",1348233,NA,NA,NA,"State",NA,NA,NA,37930,19553,18377,NA
1830,"RHODE ISLAND",97199,NA,NA,NA,"State",NA,NA,NA,3561,2013,1548,NA
1830,"SOUTH CAROLINA",581185,NA,NA,NA,"State",NA,NA,NA,7921,4249,3672,NA
1830,"TENNESSEE",681904,NA,NA,NA,"State",NA,NA,NA,4555,2225,2330,NA
1830,"VERMONT",280652,NA,NA,NA,"State",NA,NA,NA,881,455,426,NA
1830,"VIRGINIA",1211405,NA,NA,NA,"State",NA,NA,NA,47348,24961,22387,NA
1840,"ALABAMA",590756,NA,NA,NA,"State",NA,NA,NA,2039,1009,1030,NA
1840,"ARKANSAS",97574,NA,NA,NA,"State",NA,NA,NA,465,217,248,NA
1840,"CONNECTICUT",310015,NA,NA,NA,"State",NA,NA,NA,8105,4214,3891,NA
1840,"DELAWARE",78085,NA,NA,NA,"State",NA,NA,NA,16919,8293,8626,NA
1840,"FLORIDA",54477,NA,NA,NA,"Territory",NA,NA,NA,817,419,398,NA
1840,"GEORGIA",691392,NA,NA,NA,"State",NA,NA,NA,2753,1379,1374,NA
1840,"ILLINOIS",476183,NA,NA,NA,"State",NA,NA,NA,3598,1722,1876,NA
1840,"INDIANA",685866,NA,NA,NA,"State",NA,NA,NA,7165,3434,3731,NA
1840,"IOWA",43112,NA,NA,NA,"Territory",NA,NA,NA,172,79,93,NA
1840,"KENTUCKY",779828,NA,NA,NA,"State",NA,NA,NA,7317,3556,3761,NA
1840,"LOUISIANA",352411,NA,NA,NA,"State",NA,NA,NA,25502,13976,11526,NA
1840,"MAINE",501793,NA,NA,NA,"State",NA,NA,NA,1355,635,720,NA
1840,"MARYLAND",470019,NA,NA,NA,"State",NA,NA,NA,62078,32891,29187,NA
1840,"MASSACHUSETTS",737699,NA,NA,NA,"State",NA,NA,NA,8669,4015,4654,NA
1840,"MICHIGAN",212267,NA,NA,NA,"State",NA,NA,NA,707,314,393,NA
1840,"MISSISSIPPI",375651,NA,NA,NA,"State",NA,NA,NA,1366,651,715,NA
1840,"MISSOURI",383702,NA,NA,NA,"State",NA,NA,NA,1574,691,883,NA
1840,"NEW HAMPSHIRE",284574,NA,NA,NA,"State",NA,NA,NA,537,289,248,NA
1840,"NEW JERSEY",373306,NA,NA,NA,"State",NA,NA,NA,21044,10264,10780,NA
1840,"NEW YORK",2428921,NA,NA,NA,"State",NA,NA,NA,50027,26218,23809,NA
1840,"NORTH CAROLINA",753419,NA,NA,NA,"State",NA,NA,NA,22732,11505,11227,NA
1840,"OHIO",1519467,NA,NA,NA,"State",NA,NA,NA,17342,8602,8740,NA
1840,"PENNSYLVANIA",1724033,NA,NA,NA,"State",NA,NA,NA,47854,25102,22752,NA
1840,"RHODE ISLAND",108830,NA,NA,NA,"State",NA,NA,NA,3238,1825,1413,NA
1840,"SOUTH CAROLINA",594398,NA,NA,NA,"State",NA,NA,NA,8276,4412,3864,NA
1840,"TENNESSEE",829210,NA,NA,NA,"State",NA,NA,NA,5524,2728,2796,NA
1840,"VERMONT",291948,NA,NA,NA,"State",NA,NA,NA,730,366,364,NA
1840,"VIRGINIA",1239797,NA,NA,NA,"State",NA,NA,NA,49852,26024,23828,NA
1840,"WISCONSIN",30945,NA,NA,NA,"Territory",NA,NA,NA,185,84,101,NA
1850,"ALABAMA",771623,NA,NA,NA,"State",NA,NA,NA,NA,1209,1056,2265
1850,"ARKANSAS",209897,NA,NA,NA,"State",NA,NA,NA,NA,294,314,608
1850,"CALIFORNIA",92597,NA,NA,NA,"State",NA,NA,NA,NA,90,872,962
1850,"CONNECTICUT",370792,NA,NA,NA,"State",NA,NA,NA,NA,3873,3820,7693
1850,"DELAWARE",91532,NA,NA,NA,"State",NA,NA,NA,NA,9038,9035,18073
1850,"FLORIDA",87445,NA,NA,NA,"State",NA,NA,NA,NA,514,418,932
1850,"GEORGIA",906185,NA,NA,NA,"State",NA,NA,NA,NA,1556,1375,2931
1850,"ILLINOIS",851470,NA,NA,NA,"State",NA,NA,NA,NA,2659,2777,5436
1850,"INDIANA",988416,NA,NA,NA,"State",NA,NA,NA,NA,5547,5715,11262
1850,"IOWA",192214,NA,NA,NA,"State",NA,NA,NA,NA,168,165,333
1850,"KENTUCKY",982405,NA,NA,NA,"State",NA,NA,NA,NA,5148,4863,10011
1850,"LOUISIANA",517762,NA,NA,NA,"State",NA,NA,NA,NA,9983,7479,17462
1850,"MAINE",583169,NA,NA,NA,"State",NA,NA,NA,NA,630,726,1356
1850,"MARYLAND",583034,NA,NA,NA,"State",NA,NA,NA,NA,39531,35192,74723
1850,"MASSACHUSETTS",994514,NA,NA,NA,"State",NA,NA,NA,NA,4640,4424,9064
1850,"MICHIGAN",397654,NA,NA,NA,"State",NA,NA,NA,NA,1152,1431,2583
1850,"MINNESOTA",6077,NA,NA,NA,"Territory",NA,NA,NA,NA,18,21,39
1850,"MISSISSIPPI",606526,NA,NA,NA,"State",NA,NA,NA,NA,456,474,930
1850,"MISSOURI",682044,NA,NA,NA,"State",NA,NA,NA,NA,1257,1361,2618
1850,"NEW HAMPSHIRE",317976,NA,NA,NA,"State",NA,NA,NA,NA,260,260,520
1850,"NEW JERSEY",489555,NA,NA,NA,"State",NA,NA,NA,NA,12012,11798,23810
1850,"NEW YORK",3097394,NA,NA,NA,"State",NA,NA,NA,NA,25617,23452,49069
1850,"NORTH CAROLINA",869039,NA,NA,NA,"State",NA,NA,NA,NA,14165,13298,27463
1850,"OHIO",1980329,NA,NA,NA,"State",NA,NA,NA,NA,12588,12691,25279
1850,"PENNSYLVANIA",2311786,NA,NA,NA,"State",NA,NA,NA,NA,28257,25369,53626
1850,"RHODE ISLAND",147545,NA,NA,NA,"State",NA,NA,NA,NA,1932,1738,3670
1850,"SOUTH CAROLINA",668507,NA,NA,NA,"State",NA,NA,NA,NA,4829,4131,8960
1850,"TENNESSEE",1002717,NA,NA,NA,"State",NA,NA,NA,NA,3305,3117,6422
1850,"TEXAS",212592,NA,NA,NA,"State",NA,NA,NA,NA,186,211,397
1850,"VERMONT",314304,NA,NA,NA,"State",NA,NA,NA,NA,343,375,718
1850,"VIRGINIA",1421661,NA,NA,NA,"State",NA,NA,NA,NA,28331,26002,54333
1850,"WISCONSIN",305391,NA,NA,NA,"State",NA,NA,NA,NA,270,365,635
