"Year","State","TOTAL.POPULATION","SLAVES","Type","FEMALE.SLAVES","MALES.SLAVES","TOTAL.SLAVES","TOTAL.FEMALE.SLAVES","TOTAL.MALE.SLAVES","AGGR..SLAVES"
1850,"ALABAMA",771623,NA,"State",NA,NA,342844,171040,171804,NA
1850,"ARKANSAS",209897,NA,"State",NA,NA,47100,23442,23658,NA
1850,"CALIFORNIA",92597,NA,"State",NA,NA,NA,NA,NA,NA
1850,"CONNECTICUT",370792,NA,"State",NA,NA,NA,NA,NA,NA
1850,"DELAWARE",91532,NA,"State",NA,NA,2290,1116,1174,NA
1850,"FLORIDA",87445,NA,"State",NA,NA,39310,19506,19804,NA
1850,"GEORGIA",906185,NA,"State",NA,NA,381682,192825,188857,NA
1850,"ILLINOIS",851470,NA,"State",NA,NA,NA,NA,NA,NA
1850,"INDIANA",988416,NA,"State",NA,NA,NA,NA,NA,NA
1850,"IOWA",192214,NA,"State",NA,NA,NA,NA,NA,NA
1850,"KENTUCKY",982405,NA,"State",NA,NA,210981,105918,105063,NA
1850,"LOUISIANA",517762,NA,"State",NA,NA,244809,118935,125874,NA
1850,"MAINE",583169,NA,"State",NA,NA,NA,NA,NA,NA
1850,"MARYLAND",583034,NA,"State",NA,NA,90368,44424,45944,NA
1850,"MASSACHUSETTS",994514,NA,"State",NA,NA,NA,NA,NA,NA
1850,"MICHIGAN",397654,NA,"State",NA,NA,NA,NA,NA,NA
1850,"MINNESOTA",6077,NA,"Territory",NA,NA,NA,NA,NA,NA
1850,"MISSISSIPPI",606526,NA,"State",NA,NA,309878,154626,154674,NA
1850,"MISSOURI",682044,NA,"State",NA,NA,87422,43938,43484,NA
1850,"NEW HAMPSHIRE",317976,NA,"State",NA,NA,NA,NA,NA,NA
1850,"NEW JERSEY",489555,NA,"State",NA,NA,236,140,96,NA
1850,"NEW YORK",3097394,NA,"State",NA,NA,NA,NA,NA,NA
1850,"NORTH CAROLINA",869039,NA,"State",NA,NA,288548,143967,144581,NA
1850,"OHIO",1980329,NA,"State",NA,NA,NA,NA,NA,NA
1850,"PENNSYLVANIA",2311786,NA,"State",NA,NA,NA,NA,NA,NA
1850,"RHODE ISLAND",147545,NA,"State",NA,NA,NA,NA,NA,NA
1850,"SOUTH CAROLINA",668507,NA,"State",NA,NA,384984,197228,187756,NA
1850,"TENNESSEE",1002717,NA,"State",NA,NA,239459,120679,118780,NA
1850,"TEXAS",212592,NA,"State",NA,NA,58161,29461,28700,NA
1850,"VERMONT",314304,NA,"State",NA,NA,NA,NA,NA,NA
1850,"VIRGINIA",1421661,NA,"State",NA,NA,472528,231966,240562,NA
1850,"WISCONSIN",305391,NA,"State",NA,NA,NA,NA,NA,NA
1860,"ALABAMA",964201,NA,"State",NA,NA,NA,217314,217766,435080
1860,"ARKANSAS",435450,NA,"State",NA,NA,NA,54941,56174,111115
1860,"CALIFORNIA",379994,NA,"State",NA,NA,NA,NA,NA,NA
1860,"CONNECTICUT",460147,NA,"State",NA,NA,NA,NA,NA,NA
1860,"DELAWARE",112216,NA,"State",NA,NA,NA,938,860,1798
1860,"FLORIDA",140424,NA,"State",NA,NA,NA,30397,31348,61745
1860,"GEORGIA",1057286,NA,"State",NA,NA,NA,233005,229193,462198
1860,"ILLINOIS",1711951,NA,"State",NA,NA,NA,NA,NA,NA
1860,"INDIANA",1350428,NA,"State",NA,NA,NA,NA,NA,NA
1860,"IOWA",674913,NA,"State",NA,NA,NA,NA,NA,NA
1860,"KANSAS",107206,NA,"Territory",NA,NA,NA,2,0,2
